max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-9,-1460,1298,31,-1281.7830188679245,1118.6347826086956,-4755415,385929,15.463873147964478,4055
-9,-1298,1298,29,-1273.6427732079906,1067.590909090909,-4335480,328818,25.391523122787476,3712
-3,-1298,1298,32,-1290.0667870036102,1097.4969325153374,-4288182,357784,22.206777095794678,3650
-3,-1298,1298,61,-1274.005877413938,926.78,-1517341,92678,14.336930990219116,1291
-3,-1298,1298,24,-1283.617123795404,1104.1740890688259,-3463199,272731,14.586658000946045,2945
-24,-1298,1298,90,-1288.579024247736,1119.2017804154302,-4410806,377171,19.877967834472656,3760
-2,-1298,1298,7,-1285.8703753713205,1150.2073578595318,-4761578,343912,14.289726972579956,4002
-38,-1298,1298,41,-1289.5107201759208,1124.513353115727,-4691240,378961,19.49891996383667,3975
-3,-1298,1298,3,-1284.7334499854185,1148.6043613707166,-4405351,368702,14.125416994094849,3750
-19,-1298,1298,59,-1288.321044992743,1125.0620689655173,-4438266,326268,14.903026819229126,3735
-49,-1298,1298,3,-1289.8837961714748,1150.2870967741935,-4784179,356589,15.646883010864258,4019
-3,-1298,1298,93,-1289.9769410391127,1163.016393442623,-4419461,354720,14.95849609375,3731
-9,-1298,1298,61,-1287.1975871313673,1168.4617940199334,-4801247,351707,13.358704805374146,4031
-3,-1298,1298,90,-1289.4349726775956,1161.0341296928327,-4719332,340183,12.320952892303467,3953
-3,-1298,1298,88,-1287.858024691358,1123.2743902439024,-4798559,368434,18.14490008354187,4054
-12,-1298,1298,61,-1286.580269058296,1122.5739436619717,-4303611,318811,16.83678102493286,3629
-35,-1298,1298,32,-1291.927015891701,1111.6013289036546,-4389968,334592,15.47719693183899,3699
-9,-1298,1298,3,-1285.357100591716,1131.8936877076412,-4344507,340700,15.1890549659729,3681
-1,-1298,1298,61,-1284.31843575419,1123.0541401273886,-4827753,352639,14.520375967025757,4073
-4,-1298,1298,61,-1283.9997172745263,1069.4772727272727,-4541507,376456,23.858373880386353,3889
-9,-1298,1298,90,-1277.1539101497503,1001.765306122449,-1535139,98173,12.674293041229248,1300
-3,-1298,1298,61,-1285.8567599761764,1141.127035830619,-4317907,350326,18.103515148162842,3665
-3,-1298,1298,32,-1285.8903912543153,1135.1568627450981,-4469755,347358,15.935386180877686,3782
