max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size
-3,-1298,1298,21,-1283.1786687427013,1081.6724137931035
-3,-1298,1298,90,-1280.368682442302,1093.1035598705503
-6,-1298,1298,90,-1282.795858945325,1114.555944055944
-32,-1298,1298,61,-1273.2546333601933,944.1696428571429
-35,-1298,1298,119,-1277.3679867986798,949.9479166666666
-184,-1298,1298,32,-1278.3357723577235,960.7155963302753
-3,-1298,1298,32,-1277.4619787408012,986.9583333333334
-15,-1298,1298,61,-1246.3735130848534,848.1746031746031
-21,-1448,1298,31,-1275.134460547504,851.6448598130842
-3,-1298,1298,6,-1287.3944413250983,1133.883495145631
-7,-1298,1298,93,-1288.1834170854272,1150.5577557755776
-32,-1298,1298,50,-1281.9558777182476,1102.0795847750865
-3,-1298,1298,21,-1284.6257493576934,1128.0419161676646
-3,-1298,1298,29,-1288.3755623964007,1156.7253731343283
-3,-1298,1298,32,-1290.144146767618,1156.5424242424242
-33,-1298,1298,90,-1281.477960242005,961.5444444444445
-9,-1460,1298,31,-1281.7830188679245,1118.6347826086956
-9,-1298,1298,29,-1273.6427732079906,1067.590909090909
-3,-1298,1298,32,-1290.0667870036102,1097.4969325153374
-3,-1298,1298,61,-1274.005877413938,926.78
-3,-1298,1298,24,-1283.617123795404,1104.1740890688259
-24,-1298,1298,90,-1288.579024247736,1119.2017804154302
-2,-1298,1298,7,-1285.8703753713205,1150.2073578595318
-38,-1298,1298,41,-1289.5107201759208,1124.513353115727
-3,-1298,1298,3,-1284.7334499854185,1148.6043613707166
-19,-1298,1298,59,-1288.321044992743,1125.0620689655173
-49,-1298,1298,3,-1289.8837961714748,1150.2870967741935
-3,-1298,1298,93,-1289.9769410391127,1163.016393442623
-9,-1298,1298,61,-1287.1975871313673,1168.4617940199334
-3,-1298,1298,90,-1289.4349726775956,1161.0341296928327
-3,-1298,1298,88,-1287.858024691358,1123.2743902439024
-12,-1298,1298,61,-1286.580269058296,1122.5739436619717
-35,-1298,1298,32,-1291.927015891701,1111.6013289036546
-9,-1298,1298,3,-1285.357100591716,1131.8936877076412
-1,-1298,1298,61,-1284.31843575419,1123.0541401273886
-4,-1298,1298,61,-1283.9997172745263,1069.4772727272727
-9,-1298,1298,90,-1277.1539101497503,1001.765306122449
-3,-1298,1298,61,-1285.8567599761764,1141.127035830619
-3,-1298,1298,32,-1285.8903912543153,1135.1568627450981
-3,-1298,1298,56,-1291.9219073946094,1134.399193548387
-12,-1298,1298,26,-1291.852736871353,1116.0
-4,-1298,1298,61,-1291.220231077576,1170.075
-3,-1298,1298,61,-1287.0364832535886,1153.8885135135135
-9,-1298,1298,32,-1287.0626336694165,1105.71
-1,-1298,1298,35,-1287.8030349953547,1072.4485981308412
-6,-1298,1298,26,-1288.2321941038351,1150.1172638436483
-33,-1298,1298,26,-1290.8498129342597,1127.9935483870968
-57,-1298,1298,32,-1284.9163265306122,1109.367816091954
-23,-1298,1298,32,-1287.2436974789916,1116.7460317460318
-183,-1298,1298,3,-1280.061242344707,921.7578947368421
-3,-1298,1298,26,-1283.9469309462916,1138.480701754386
-15,-1298,1298,32,-1280.5029585798816,973.2978723404256
-152,-1298,1298,61,-1288.9081312410842,1133.780564263323
-2,-1298,1298,61,-1284.736675309709,1102.8625429553265
-3,-1298,1298,26,-1287.8486398511975,1143.776
-5,-1298,1298,41,-1284.2467532467533,1088.8259109311741
-61,-1448,1298,61,-1286.8032008002,1130.2462462462463
-1,-1298,1298,29,-1279.8110285006196,1074.607142857143
-163,-1298,1298,90,-1289.565509518477,1055.9850746268658
-19,-1298,1298,61,-1283.8293550025394,1082.85625
-74,-1298,1298,61,-1289.4426732066217,1018.0393700787401
-3,-1298,1298,6,-1279.4094030639196,1071.6307692307691
