max_in_size,min_in_size,max_out_size,min_out_size,mean_in_size,mean_out_size,total_in_volume,total_out_volume,load_time,packet_count
-6,-1460,1460,24,-978.2794959908362,367.2659090909091,-854038,161597,10.89505410194397,1313
-6,-1460,1460,24,-1033.6176470588234,345.32748538011697,-808289,118102,5.764250040054321,1124
-6,-1460,1460,24,-1003.7844827586207,345.81,-931512,172905,10.8281090259552,1428
-19,-1460,1460,24,-1147.9321266968325,444.69325153374234,-507386,72485,6.4560160636901855,605
-6,-1460,1460,24,-993.8606060606061,341.90833333333336,-983922,164116,6.243283987045288,1470
-6,-1460,1460,24,-1071.3233532934132,420.4012738853503,-715644,132006,7.6771299839019775,982
-24,-1460,783,24,-758.5913978494624,144.6024096385542,-70549,12002,5.458878040313721,176
-6,-1460,1460,2,-1247.0651121865376,340.27360308285165,-2834579,176602,12.938930034637451,2792
-1,-1460,1460,24,-1293.5565702688991,403.9931271477663,-2549600,117562,6.946612119674683,2262
-1,-1460,1460,12,-980.3949771689498,375.57077625570776,-858826,164500,10.296985864639282,1314
-19,-1460,1460,24,-1160.2510548523207,446.02369668246445,-549959,94111,11.360467910766602,685
-6,-1460,1460,24,-957.047619047619,352.93273542600895,-864214,157408,11.029067039489746,1349
-6,-1460,1460,24,-988.2665876777252,356.2256532066508,-834097,149971,7.043399095535278,1265
-6,-1460,1460,24,-1048.005540166205,339.065625,-756660,108501,10.824053049087524,1042
-6,-1460,1460,24,-1025.615306122449,350.78793774319064,-1005103,180305,13.796769857406616,1494
-6,-1460,1460,2,-1296.6625,396.67123287671234,-2697058,144785,9.145034074783325,2445
-6,-1460,1460,24,-1142.8122001370803,342.753937007874,-1667363,174119,16.482070922851562,1967
-19,-1460,1460,24,-1302.3885400313973,377.79615384615386,-1659243,98227,11.973785877227783,1534
-6,-1460,1460,24,-1244.311746987952,381.780487804878,-1652446,125224,12.495269060134888,1656
-14,-1460,1460,24,-1304.3158326497128,317.40851063829786,-1589961,74591,13.940774917602539,1454
-6,-1460,1460,11,-1234.433601609658,347.31274900398404,-2454054,174351,14.869148015975952,2490
-6,-1460,1460,24,-1248.1401785714286,339.2661737523105,-2795834,183543,13.119736909866333,2781
-6,-1460,1460,24,-1076.5890227576974,380.5342465753425,-804212,138895,17.80490779876709,1112
-6,-1460,1460,23,-987.8341121495328,365.60532150776055,-845586,164888,10.928825855255127,1307
-19,-1460,1460,24,-1121.6711281070745,409.7083333333333,-586634,88497,11.389689922332764,739
-6,-1460,1460,24,-1114.075976845152,332.23201438848923,-1539653,184721,16.89306902885437,1938
-5,-1460,1460,22,-973.6902237926973,369.7672811059908,-826663,160479,11.053357124328613,1283
-6,-1460,1460,24,-1003.7780346820809,329.78859857482183,-868268,138841,6.577544212341309,1286
-6,-1460,1460,24,-988.3722025912839,375.3176470588235,-839128,159510,10.419888973236084,1274
-2,-1460,1460,24,-980.0290023201857,384.7142857142857,-844785,161580,10.776303052902222,1282
